municipio_cod;municipio_fato;data_fato;mes;ano;risp;rmbh;natureza_delito;tentado_consumado;qtde_vitimas
310090;AGUAS FORMOSAS;2016-01-01;1;2016;15º RISP - Teófilo Otoni;3) Interior de MG;AMEACA;CONSUMADO;1
310090;AGUAS FORMOSAS;2016-01-01;1;2016;15º RISP - Teófilo Otoni;3) Interior de MG;VIAS DE FATO / AGRESSAO;CONSUMADO;1
310100;AGUAS VERMELHAS;2016-01-01;1;2016;15º RISP - Teófilo Otoni;3) Interior de MG;VIAS DE FATO / AGRESSAO;CONSUMADO;1
310150;ALEM PARAIBA;2016-01-01;1;2016;4º RISP - Juiz de Fora;3) Interior de MG;AMEACA;CONSUMADO;1
310170;ALMENARA;2016-01-01;1;2016;15º RISP - Teófilo Otoni;3) Interior de MG;AMEACA;CONSUMADO;1
310170;ALMENARA;2016-01-01;1;2016;15º RISP - Teófilo Otoni;3) Interior de MG;VIAS DE FATO / AGRESSAO;CONSUMADO;1
310170;ALMENARA;2016-01-01;1;2016;15º RISP - Teófilo Otoni;3) Interior de MG;VIOLACAO DE DOMICILIO;CONSUMADO;1
310200;ALTEROSA;2016-01-01;1;2016;18º RISP - Poços de Caldas;3) Interior de MG;VIAS DE FATO / AGRESSAO;CONSUMADO;1
310260;ANDRADAS;2016-01-01;1;2016;18º RISP - Poços de Caldas;3) Interior de MG;LESAO CORPORAL;CONSUMADO;1
310260;ANDRADAS;2016-01-01;1;2016;18º RISP - Poços de Caldas;3) Interior de MG;VIAS DE FATO / AGRESSAO;CONSUMADO;1
310285;ANGELANDIA;2016-01-01;1;2016;14º RISP - Curvelo;3) Interior de MG;LESAO CORPORAL;CONSUMADO;1
310340;ARACUAI;2016-01-01;1;2016;15º RISP - Teófilo Otoni;3) Interior de MG;AMEACA;CONSUMADO;2
310340;ARACUAI;2016-01-01;1;2016;15º RISP - Teófilo Otoni;3) Interior de MG;VIAS DE FATO / AGRESSAO;CONSUMADO;1
310350;ARAGUARI;2016-01-01;1;2016;9º RISP - Uberlândia;3) Interior de MG;DANO;CONSUMADO;1
310350;ARAGUARI;2016-01-01;1;2016;9º RISP - Uberlândia;3) Interior de MG;LESAO CORPORAL;CONSUMADO;1
310350;ARAGUARI;2016-01-01;1;2016;9º RISP - Uberlândia;3) Interior de MG;VIAS DE FATO / AGRESSAO;CONSUMADO;1
310390;ARAUJOS;2016-01-01;1;2016;7º RISP - Divinópolis;3) Interior de MG;AMEACA;CONSUMADO;1
310400;ARAXA;2016-01-01;1;2016;5º RISP - Uberaba;3) Interior de MG;LESAO CORPORAL;CONSUMADO;1
310400;ARAXA;2016-01-01;1;2016;5º RISP - Uberaba;3) Interior de MG;VIAS DE FATO / AGRESSAO;CONSUMADO;1
310420;ARCOS;2016-01-01;1;2016;7º RISP - Divinópolis;3) Interior de MG;AMEACA;CONSUMADO;1
310420;ARCOS;2016-01-01;1;2016;7º RISP - Divinópolis;3) Interior de MG;DESOBEDECE ORDEM JUDICIAL (PERDA/SUS DIREITO);CONSUMADO;2
310500;BALDIM;2016-01-01;1;2016;19º RISP - Sete Lagoas;2) RMBH (sem BH);LESAO CORPORAL;CONSUMADO;1
310530;BANDEIRA DO SUL;2016-01-01;1;2016;18º RISP - Poços de Caldas;3) Interior de MG;VIAS DE FATO / AGRESSAO;CONSUMADO;1
310540;BARAO DE COCAIS;2016-01-01;1;2016;12º RISP - Ipatinga;3) Interior de MG;AMEACA;CONSUMADO;1
310540;BARAO DE COCAIS;2016-01-01;1;2016;12º RISP - Ipatinga;3) Interior de MG;LESAO CORPORAL;CONSUMADO;4
310540;BARAO DE COCAIS;2016-01-01;1;2016;12º RISP - Ipatinga;3) Interior de MG;VIAS DE FATO / AGRESSAO;CONSUMADO;2
310560;BARBACENA;2016-01-01;1;2016;13º RISP - Barbacena;3) Interior de MG;AMEACA;CONSUMADO;2
310560;BARBACENA;2016-01-01;1;2016;13º RISP - Barbacena;3) Interior de MG;LESAO CORPORAL;CONSUMADO;6
310560;BARBACENA;2016-01-01;1;2016;13º RISP - Barbacena;3) Interior de MG;VIAS DE FATO / AGRESSAO;CONSUMADO;4
310620;BELO HORIZONTE;2016-01-01;1;2016;1º RISP - Belo Horizonte;1) Belo Horizonte;AMEACA;CONSUMADO;12
310620;BELO HORIZONTE;2016-01-01;1;2016;1º RISP - Belo Horizonte;1) Belo Horizonte;ATRITO VERBAL;CONSUMADO;2
310620;BELO HORIZONTE;2016-01-01;1;2016;1º RISP - Belo Horizonte;1) Belo Horizonte;DANO;CONSUMADO;2
310620;BELO HORIZONTE;2016-01-01;1;2016;1º RISP - Belo Horizonte;1) Belo Horizonte;DESOBEDECE ORDEM JUDICIAL (PERDA/SUS DIREITO);CONSUMADO;1
310620;BELO HORIZONTE;2016-01-01;1;2016;1º RISP - Belo Horizonte;1) Belo Horizonte;DESOBEDIENCIA;CONSUMADO;1
310620;BELO HORIZONTE;2016-01-01;1;2016;1º RISP - Belo Horizonte;1) Belo Horizonte;ESTELIONATO;CONSUMADO;1
310620;BELO HORIZONTE;2016-01-01;1;2016;1º RISP - Belo Horizonte;1) Belo Horizonte;ESTUPRO;CONSUMADO;1
310620;BELO HORIZONTE;2016-01-01;1;2016;1º RISP - Belo Horizonte;1) Belo Horizonte;FURTO;CONSUMADO;1
310620;BELO HORIZONTE;2016-01-01;1;2016;1º RISP - Belo Horizonte;1) Belo Horizonte;LESAO CORPORAL;CONSUMADO;12
310620;BELO HORIZONTE;2016-01-01;1;2016;1º RISP - Belo Horizonte;1) Belo Horizonte;OUTROS INFRACOES C/ A PESSOA;CONSUMADO;1
310620;BELO HORIZONTE;2016-01-01;1;2016;1º RISP - Belo Horizonte;1) Belo Horizonte;VIAS DE FATO / AGRESSAO;CONSUMADO;29
310640;BELO VALE;2016-01-01;1;2016;13º RISP - Barbacena;3) Interior de MG;AMEACA;CONSUMADO;1
310640;BELO VALE;2016-01-01;1;2016;13º RISP - Barbacena;3) Interior de MG;LESAO CORPORAL;CONSUMADO;1
310665;BERIZAL;2016-01-01;1;2016;11º RISP - Montes Claros;3) Interior de MG;LESAO CORPORAL;CONSUMADO;1
310670;BETIM;2016-01-01;1;2016;2º RISP - Contagem;2) RMBH (sem BH);AMEACA;CONSUMADO;5
310670;BETIM;2016-01-01;1;2016;2º RISP - Contagem;2) RMBH (sem BH);LESAO CORPORAL;CONSUMADO;1
310670;BETIM;2016-01-01;1;2016;2º RISP - Contagem;2) RMBH (sem BH);MAUS TRATOS;CONSUMADO;2
310670;BETIM;2016-01-01;1;2016;2º RISP - Contagem;2) RMBH (sem BH);OUTROS INFRACOES C/ A PESSOA;CONSUMADO;1
310670;BETIM;2016-01-01;1;2016;2º RISP - Contagem;2) RMBH (sem BH);VIAS DE FATO / AGRESSAO;CONSUMADO;7
310710;BOA ESPERANCA;2016-01-01;1;2016;6º RISP - Lavras;3) Interior de MG;VIAS DE FATO / AGRESSAO;CONSUMADO;2
310740;BOM DESPACHO;2016-01-01;1;2016;7º RISP - Divinópolis;3) Interior de MG;DIFAMACAO;CONSUMADO;1
310740;BOM DESPACHO;2016-01-01;1;2016;7º RISP - Divinópolis;3) Interior de MG;VIAS DE FATO / AGRESSAO;CONSUMADO;2
310770;BOM JESUS DO AMPARO;2016-01-01;1;2016;12º RISP - Ipatinga;3) Interior de MG;AMEACA;CONSUMADO;1
310855;BRASILANDIA DE MINAS;2016-01-01;1;2016;16º RISP - Unaí;3) Interior de MG;AMEACA;CONSUMADO;1
310900;BRUMADINHO;2016-01-01;1;2016;2º RISP - Contagem;2) RMBH (sem BH);AMEACA;CONSUMADO;2
310900;BRUMADINHO;2016-01-01;1;2016;2º RISP - Contagem;2) RMBH (sem BH);LESAO CORPORAL;CONSUMADO;1
310900;BRUMADINHO;2016-01-01;1;2016;2º RISP - Contagem;2) RMBH (sem BH);VIAS DE FATO / AGRESSAO;CONSUMADO;1
310920;BUENOPOLIS;2016-01-01;1;2016;14º RISP - Curvelo;3) Interior de MG;VIAS DE FATO / AGRESSAO;CONSUMADO;1
310930;BURITIS;2016-01-01;1;2016;16º RISP - Unaí;3) Interior de MG;DANO;CONSUMADO;1
310930;BURITIS;2016-01-01;1;2016;16º RISP - Unaí;3) Interior de MG;LESAO CORPORAL;CONSUMADO;1
310940;BURITIZEIRO;2016-01-01;1;2016;14º RISP - Curvelo;3) Interior de MG;LESAO CORPORAL;CONSUMADO;1
310990;CAETANOPOLIS;2016-01-01;1;2016;19º RISP - Sete Lagoas;3) Interior de MG;LESAO CORPORAL;CONSUMADO;1
311060;CAMBUI;2016-01-01;1;2016;17º RISP - Pouso Alegre;3) Interior de MG;LESAO CORPORAL;CONSUMADO;1
311070;CAMBUQUIRA;2016-01-01;1;2016;6º RISP - Lavras;3) Interior de MG;ATEND. DENUNCIA INFRACOES CONTRA MULHER(VIOLENCIA;CONSUMADO;1
311100;CAMPESTRE;2016-01-01;1;2016;18º RISP - Poços de Caldas;3) Interior de MG;AMEACA;CONSUMADO;1
311110;CAMPINA VERDE;2016-01-01;1;2016;5º RISP - Uberaba;3) Interior de MG;VIAS DE FATO / AGRESSAO;CONSUMADO;1
311120;CAMPO BELO;2016-01-01;1;2016;6º RISP - Lavras;3) Interior de MG;LESAO CORPORAL;CONSUMADO;1
311130;CAMPO DO MEIO;2016-01-01;1;2016;18º RISP - Poços de Caldas;3) Interior de MG;AMEACA;CONSUMADO;1
311130;CAMPO DO MEIO;2016-01-01;1;2016;18º RISP - Poços de Caldas;3) Interior de MG;LESAO CORPORAL;CONSUMADO;1
311150;CAMPOS ALTOS;2016-01-01;1;2016;5º RISP - Uberaba;3) Interior de MG;LESAO CORPORAL;CONSUMADO;1
311160;CAMPOS GERAIS;2016-01-01;1;2016;18º RISP - Poços de Caldas;3) Interior de MG;LESAO CORPORAL;CONSUMADO;1
311270;CAPITAO ENEIAS;2016-01-01;1;2016;11º RISP - Montes Claros;3) Interior de MG;LESAO CORPORAL;CONSUMADO;1
311290;CAPUTIRA;2016-01-01;1;2016;12º RISP - Ipatinga;3) Interior de MG;VIAS DE FATO / AGRESSAO;CONSUMADO;1
311320;CARANDAI;2016-01-01;1;2016;13º RISP - Barbacena;3) Interior de MG;LESAO CORPORAL;CONSUMADO;1
311330;CARANGOLA;2016-01-01;1;2016;4º RISP - Juiz de Fora;3) Interior de MG;AMEACA;CONSUMADO;2
